op_unique_carrier,origin,dest,dep_hour,flights
OH,BHM,CLT,5,5
OH,BHM,CLT,7,6
OH,BHM,CLT,10,5
OH,BHM,CLT,12,5
OH,BHM,CLT,15,6
OH,BHM,CLT,17,4
OH,BHM,CLT,19,4
OH,BHM,DCA,6,5
OH,BHM,DCA,10,5
OH,BHM,DCA,15,2
OH,BHM,PHL,13,6
OH,BNA,CLT,8,4
OH,BNA,CLT,12,6
OH,BNA,CLT,14,5
OH,BNA,CLT,16,5
OH,BNA,CLT,17,5
OH,BNA,CLT,19,2
OH,BNA,DCA,6,5
OH,BNA,DCA,10,5
OH,BNA,DCA,16,5
OH,BTR,CLT,7,5
OH,BTR,CLT,12,6
OH,BTR,DFW,5,5
OH,BTR,DFW,10,5
OH,BTV,CLT,5,6
OH,BTV,PHL,5,6
OH,BTV,PHL,16,6
OH,BUF,DCA,5,6
OH,BUF,DCA,12,5
OH,CAE,CLT,5,4
OH,CAE,DCA,10,6
OH,CAE,DCA,16,5
OH,CAE,DCA,19,2
OH,CAK,CLT,6,5
OH,CAK,CLT,8,5
OH,CAK,CLT,13,5
OH,CAK,CLT,18,3
OH,CAK,DCA,6,6
OH,CHA,CLT,5,4
OH,CHA,CLT,14,5
OH,CHS,CLT,12,5
OH,CHS,CLT,14,5
OH,CHS,CLT,16,6
OH,CHS,CLT,18,6
OH,CHS,CLT,20,3
OH,CHS,DCA,6,6
OH,CHS,DCA,11,6
OH,CHS,DCA,19,5
OH,CHS,PHL,11,5
OH,CID,DCA,10,5
OH,CLE,DCA,6,5
OH,CLE,DCA,20,2
OH,CLT,ABE,9,6
OH,CLT,ABE,14,6
OH,CLT,ABE,21,6
OH,CLT,ATL,7,5
OH,CLT,ATL,9,4
OH,CLT,ATL,11,5
OH,CLT,ATL,16,3
OH,CLT,AVL,7,5
OH,CLT,AVL,9,6
OH,CLT,AVL,11,6
OH,CLT,AVL,13,5
OH,CLT,AVL,14,5
OH,CLT,AVL,19,5
OH,CLT,AVL,20,5
OH,CLT,AVL,22,3
OH,CLT,AVP,9,5
OH,CLT,BHM,9,5
OH,CLT,BHM,11,5
OH,CLT,BHM,14,5
OH,CLT,BHM,16,6
OH,CLT,BHM,18,6
OH,CLT,BHM,21,3
OH,CLT,BHM,22,3
OH,CLT,BNA,7,4
OH,CLT,BNA,11,6
OH,CLT,BNA,13,5
OH,CLT,BNA,15,5
OH,CLT,BNA,16,5
OH,CLT,BNA,18,2
OH,CLT,BTR,10,6
OH,CLT,BTR,17,2
OH,CLT,BTR,22,4
OH,CLT,BTV,20,5
OH,CLT,CAE,18,2
OH,CLT,CAE,22,4
OH,CLT,CAK,11,5
OH,CLT,CAK,16,3
OH,CLT,CAK,18,5
OH,CLT,CAK,20,6
OH,CLT,CHA,12,5
OH,CLT,CHA,18,2
OH,CLT,CHA,22,4
OH,CLT,CHS,11,5
OH,CLT,CHS,12,5
OH,CLT,CHS,14,6
OH,CLT,CHS,16,6
OH,CLT,CHS,18,3
OH,CLT,CMH,9,4
OH,CLT,CMH,13,5
OH,CLT,CRW,10,5
OH,CLT,CRW,16,5
OH,CLT,CRW,20,5
OH,CLT,CVG,9,5
OH,CLT,CVG,13,6
OH,CLT,CVG,20,6
OH,CLT,DAB,15,5
OH,CLT,DAY,9,5
OH,CLT,DAY,15,3
OH,CLT,DAY,18,6
OH,CLT,DAY,20,4
OH,CLT,DCA,7,5
OH,CLT,DCA,11,6
OH,CLT,ECP,15,5
OH,CLT,FAY,11,5
OH,CLT,GNV,9,6
OH,CLT,GPT,9,5
OH,CLT,GPT,20,5
OH,CLT,GSO,7,4
OH,CLT,GSO,11,5
OH,CLT,GSO,14,6
OH,CLT,GSO,22,4
OH,CLT,GSP,7,4
OH,CLT,GSP,9,5
OH,CLT,GSP,11,5
OH,CLT,GSP,14,5
OH,CLT,GSP,16,5
OH,CLT,GSP,19,5
OH,CLT,GSP,20,5
OH,CLT,HPN,7,4
OH,CLT,HPN,11,6
OH,CLT,HPN,14,5
OH,CLT,HPN,20,6
OH,CLT,HSV,18,6
OH,CLT,HSV,20,5
OH,CLT,HSV,22,4
OH,CLT,IAD,9,4
OH,CLT,IAD,16,5
OH,CLT,IAD,18,4
